"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2020-09-16","86.2","-1.88","5.97","Perdomo, Luis",457759,606131,"walk","ball",,,,,"14","Justin Turner walks.","R","R","R","SD","LAD","B",,,"3","1",2020,"0.05","-0.08","1.84","1.21","605141",,,"1","5","Top",,,,,"488771",,,8.654732656701341,-125.13763551291541,-4.817155729076228,-1.3354742103724946,26.51177484706712,-32.19847714479864,"3.51","1.57",,,,"85.3","2366","5.9",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.56",,,"0.7","1","0","0",,"37","5","Slider","1","3","3","1","3","1","3","1","Strategic","Standard","347","-0.008","0.131"
"SL","2020-09-16","84.5","1.95","5.65","Morejon, Adrian",641355,670970,,"foul",,,,,"8","Cody Bellinger strikes out swinging.","R","L","L","SD","LAD","S",,,"0","2",2020,"-0.97","-0.33","-0.04","1.86",,,,"1","2","Top",,,,,"488771",,,-2.690330005687258,-123.14660864021134,-1.9404042694043269,-9.51918678743364,20.938210131402887,-35.385313183563795,"3.82","1.77","182","65.6","54","84.9","2707","6.2",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.34",,,,,,,,"9","3","Slider","0","0","0","0","0","0","0","0","Infield shift","Strategic","301","0","0"
"SI","2020-09-16","94.4","-1.54","6.05","Perdomo, Luis",457759,606131,,"ball",,,,,"11","Justin Turner walks.","R","R","R","SD","LAD","B",,,"2","1",2020,"-1.38","0.56","-0.51","3.83","605141",,,"1","5","Top",,,,,"488771",,,5.6799406871465825,-137.39801847528818,-1.3297671128099102,-18.78928480454009,30.510458001414754,-25.012552202999093,"3.41","1.57",,,,"93.4","1967","5.7",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.82",,,,,,,,"37","4","Sinker","1","3","3","1","3","1","3","1","Strategic","Standard","216","0","0.117"
"FF","2020-09-16","96.8","1.77","5.91","Morejon, Adrian",641355,670970,,"foul",,,,,"3","Cody Bellinger strikes out swinging.","R","L","L","SD","LAD","S",,,"0","1",2020,"0.75","1.36","0.81","3.62",,,,"1","2","Top",,,,,"488771",,,-4.244761922251586,-140.8894631909187,-3.628433252419863,11.010905368956637,33.94461906063359,-13.520407463749741,"3.82","1.77","200","72.9","50","96.3","2349","6.1",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.38",,,,,,,,"9","2","4-Seam Fastball","0","0","0","0","0","0","0","0","Infield shift","Strategic","140","0","-0.039"
"CU","2020-09-16","80.0","2.09","6.02","Morejon, Adrian",641355,670970,,"called_strike",,,,,"5","Cody Bellinger strikes out swinging.","R","L","L","SD","LAD","S",,,"0","0",2020,"-0.97","-0.6","0.22","2.41",,,,"1","2","Top",,,,,"488771",,,-2.2900397205132714,-116.49884531391871,-0.05904930207245207,-8.288453708568536,23.853615533435644,-37.81341698156857,"3.73","1.77",,,,"79.4","2499","6",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.46",,,,,,,,"9","1","Curveball","0","0","0","0","0","0","0","0","Infield shift","Strategic","314","0","-0.026"
"SL","2020-09-16","86.1","-1.79","5.97","Perdomo, Luis",457759,606131,,"ball",,,,,"14","Justin Turner walks.","R","R","R","SD","LAD","B",,,"1","1",2020,"-0.09","-0.15","1.32","1.92","605141",,,"1","5","Top",,,,,"488771",,,7.51745964180068,-125.31620147385397,-3.1451870133190747,-2.2442008111987533,21.376559425898353,-33.45255537187444,"3.47","1.57",,,,"86.2","2355","6",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.51",,,,,,,,"37","3","Slider","1","3","3","1","3","1","3","1","Strategic","Standard","15","0","0.109"
"SL","2020-09-16","86.9","-1.68","6","Perdomo, Luis",457759,606131,,"called_strike",,,,,"14","Justin Turner walks.","R","R","R","SD","LAD","S",,,"1","0",2020,"0.09","0.01","1.05","1.83","605141",,,"1","5","Top",,,,,"488771",,,6.293960697194298,-126.29683305361782,-3.679316957330209,-0.4930362780893966,29.493963207155264,-31.491228194918627,"3.53","1.64",,,,"85.7","2356","5.9",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.58",,,,,,,,"37","2","Slider","1","3","3","1","3","1","3","1","Strategic","Standard","26","0","-0.107"
"FS","2020-09-16","83.6","1.93","5.84","Morejon, Adrian",669257,670970,"strikeout","swinging_strike",,,,,"3","Will Smith strikes out swinging.","R","R","L","SD","LAD","S","2",,"1","2",2020,"0.66","0.87","0.77","3.18",,,,"0","2","Top",,,,,"488771",,,-3.966904476016975,-121.58134898191575,-1.3465628683562119,7.403567465457347,26.387561251271684,-23.533747867641665,"3.18","1.49",,,,"82.7","925","6",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.53",,,"0","1","0","0",,"8","5","Split-Finger","0","0","0","0","0","0","0","0","Standard","Standard","103","0.023","-0.18"
"SL","2020-09-16","87.0","-1.9","5.98","Perdomo, Luis",457759,606131,,"ball",,,,,"14","Justin Turner walks.","R","R","R","SD","LAD","B",,,"0","0",2020,"0.01","0.03","1.84","1.59","605141",,,"1","5","Top",,,,,"488771",,,8.910336907980172,-126.34222021107422,-4.338122881950154,-1.8658290677056188,27.350323659162246,-31.135889975219367,"3.42","1.57",,,,"86.4","2369","6.2",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.35",,,,,,,,"37","1","Slider","1","3","3","1","3","1","3","1","Strategic","Standard","25","0","0.033"
"FF","2020-09-16","96.8","1.74","5.89","Morejon, Adrian",669257,670970,,"ball",,,,,"11","Will Smith strikes out swinging.","R","R","L","SD","LAD","B",,,"0","2",2020,"0.63","1.16","-1.14","3.32",,,,"0","2","Top",,,,,"488771",,,-9.090376389940825,-140.65327547769874,-3.8953375529177015,10.479755479332976,32.81603357528267,-16.125097455929378,"3.15","1.49",,,,"96.2","2398","6.1",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.41",,,,,,,,"8","4","4-Seam Fastball","0","0","0","0","0","0","0","0","Standard","Standard","138","0","0.027"
"FS","2020-09-16","84.0","1.84","5.83","Morejon, Adrian",669257,670970,,"foul",,,,,"14","Will Smith strikes out swinging.","R","R","L","SD","LAD","S",,,"0","2",2020,"0.6","0.33","0.38","1.32",,,,"0","2","Top",,,,,"488771",,,-4.540973925416323,-122.23152634652624,-4.668792755435824,6.906312394930545,24.30699957876679,-28.138521986539946,"3.18","1.49","2","66.4","-35","83.5","919","6",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.52",,,,,,,,"8","3","Split-Finger","0","0","0","0","0","0","0","0","Standard","Standard","94","0","0"
"FS","2020-09-16","90.4","-1.75","6.03","Perdomo, Luis",608369,606131,"strikeout","swinging_strike",,,,,"14","Corey Seager strikes out swinging.","R","L","R","SD","LAD","S","2",,"3","2",2020,"-1.19","0.41","0.33","1.28","605141",,,"0","5","Top",,,,,"488771",,,7.6423125721837994,-131.4425652130276,-6.737253423203661,-15.369072375842993,26.322200014585533,-26.206059185889668,"3.37","1.52",,,,"90","1699","6",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.54",,,"0","1","0","0",,"36","6","Split-Finger","1","3","3","1","3","1","3","1","Strategic","Standard","236","0.029","-0.549"
"SL","2020-09-16","90.5","-2.45","5.69","Richards, Garrett",457759,572070,"strikeout","swinging_strike_blocked",,,,,"14","Justin Turner strikes out swinging, catcher Jason Castro to first baseman Mitch Moreland.","R","R","R","SD","LAD","S","2",,"3","2",2020,"0.25","-0.02","1.58","0.74",,"666158",,"2","6","Top",,,,,"488771",,,9.456633198893845,-131.26900931192415,-6.254637958765426,0.6733194221509506,30.58690738017043,-31.068740273860627,"3.42","1.57",,,,"89.5","2767","6.1",631063,572070,"488771","519048","630105","592518","665487","595777","663757","571976","54.41",,,"0","1","0","0",,"50","6","Slider","1","7","7","1","7","1","7","1","Standard","Standard","210","0.003","-0.344"
"SI","2020-09-16","93.7","-1.46","6.2","Perdomo, Luis",608369,606131,,"ball",,,,,"12","Corey Seager strikes out swinging.","R","L","R","SD","LAD","B",,,"2","2",2020,"-1.33","0.98","0.20","4.06",,,"605141","0","5","Top",,,,,"488771",,,7.166168543594856,-136.38753770797598,-1.9917091745380082,-18.102392895810137,27.509187300520054,-19.621140644418468,"3.38","1.52",,,,"93.4","1934","5.9",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.6",,,,,,,,"36","5","Sinker","1","3","3","1","3","1","3","1","Infield shift","Strategic","215","-0.045","0.16"
"FS","2020-09-16","83.7","1.88","5.96","Morejon, Adrian",669257,670970,,"swinging_strike",,,,,"8","Will Smith strikes out swinging.","R","R","L","SD","LAD","S",,,"0","1",2020,"0.86","0.31","0.14","1.69",,,,"0","2","Top",,,,,"488771",,,-5.701058884239849,-121.73641795261226,-4.007522649639535,9.720327845149393,24.18875351177501,-28.49712991878536,"3.18","1.49",,,,"83.2","881","6",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.47",,,,,,,,"8","2","Split-Finger","0","0","0","0","0","0","0","0","Standard","Strategic","99","0","-0.056"
"FF","2020-09-16","95.7","-2.42","5.76","Richards, Garrett",457759,572070,,"swinging_strike",,,,,"3","Justin Turner strikes out swinging, catcher Jason Castro to first baseman Mitch Moreland.","R","R","R","SD","LAD","S",,,"3","1",2020,"-0.06","1.13","0.30","3.44",,"666158",,"2","6","Top",,,,,"488771",,,7.284382788366524,-139.08984242180918,-2.9655949601090197,-2.602641870872037,34.5280176068013,-17.098413034800164,"3.42","1.57",,,,"94.9","2910","6.2",631063,572070,"488771","519048","630105","592518","665487","595777","663757","571976","54.34",,,,,,,,"50","5","4-Seam Fastball","1","7","7","1","7","1","7","1","Standard","Standard","186","0","-0.078"
"FF","2020-09-16","95.4","1.85","5.83","Morejon, Adrian",669257,670970,,"called_strike",,,,,"11","Will Smith strikes out swinging.","R","R","L","SD","LAD","S",,,"0","0",2020,"0.83","1.23","-0.10","3.30",,,,"0","2","Top",,,,,"488771",,,-6.969552675919603,-138.80771726038316,-3.795978318628527,12.26050920938731,29.78505593611334,-15.580136932131836,"3.08","1.43",,,,"95.2","2382","6.1",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.4",,,,,,,,"8","1","4-Seam Fastball","0","0","0","0","0","0","0","0","Standard","Strategic","144","0","-0.042"
"FF","2020-09-16","93.9","-1.57","6.18","Perdomo, Luis",608369,606131,,"ball",,,,,"11","Corey Seager strikes out swinging.","R","L","R","SD","LAD","B",,,"1","2",2020,"-0.9","1.28","-1.11","5.74",,,"605141","0","5","Top",,,,,"488771",,,3.1665439086306795,-136.8219089500885,1.6915947021881022,-12.016679748144961,29.28456435761644,-16.654716156924348,"3.41","1.52",,,,"93.5","2087","5.9",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.61",,,,,,,,"36","4","4-Seam Fastball","1","3","3","1","3","1","3","1","Infield shift","Strategic","214","0","0.069"
"SL","2020-09-16","86.1","-1.89","6.05","Perdomo, Luis",608369,606131,,"blocked_ball",,,,,"14","Corey Seager strikes out swinging.","R","L","R","SD","LAD","B",,,"0","2",2020,"0.04","-0.25","1.42","0.15",,,"605141","0","5","Top",,,,,"488771",,,7.686765903369952,-125.03592864896027,-7.1505816895702425,-1.1875935591560838,26.516085110201207,-33.399274703408494,"3.37","1.52",,,,"85.1","2399","5.8",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.66",,,,,,,,"36","3","Slider","1","3","3","1","3","1","3","1","Infield shift","Strategic","44","0","0.003"
"SL","2020-09-16","84.2","2.1","5.7","Morejon, Adrian",571970,670970,"strikeout","swinging_strike",,,,,"13","Max Muncy strikes out swinging.","R","L","L","SD","LAD","S","2",,"1","2",2020,"-1.15","-0.59","-0.98","1.09","605141",,,"2","1","Top",,,,,"488771",,,-4.844823140187333,-122.56050041267505,-3.1151376583016934,-10.590916270043007,25.018977403195223,-37.721333701643054,"3.18","1.52",,,,"83.9","2799","6.2",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.35",,,"0","1","0","0",,"4","6","Slider","0","0","0","0","0","0","0","0","Strategic","Strategic","308","0.036","-0.262"
"SL","2020-09-16","89.8","-2.36","5.73","Richards, Garrett",457759,572070,,"ball",,,,,"14","Justin Turner strikes out swinging, catcher Jason Castro to first baseman Mitch Moreland.","R","R","R","SD","LAD","B",,,"2","1",2020,"0.33","0.08","1.27","2.28",,"666158",,"2","6","Top",,,,,"488771",,,8.258075149525899,-130.49470636052442,-2.6535450086532397,1.90356334643609,29.628444393504516,-30.903780338194597,"3.29","1.57",,,,"89.4","2780","6.3",631063,572070,"488771","519048","630105","592518","665487","595777","663757","571976","54.22",,,,,,,,"50","4","Slider","1","7","7","1","7","1","7","1","Standard","Standard","241","0","0.066"
"FS","2020-09-16","85.7","1.8","5.84","Morejon, Adrian",571970,670970,,"ball",,,,,"14","Max Muncy strikes out swinging.","R","L","L","SD","LAD","B",,,"0","2",2020,"1.14","0.53","0.99","1.68","605141",,,"2","1","Top",,,,,"488771",,,-4.213192170692749,-124.78494128236522,-4.646629021063072,12.737297945171267,25.276936580246222,-25.933157373499622,"3.16","1.52",,,,"85.6","873","6.2",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.29",,,,,,,,"4","5","Split-Finger","0","0","0","0","0","0","0","0","Strategic","Strategic","91","0","0.066"
"FS","2020-09-16","88.4","-1.93","6.09","Perdomo, Luis",608369,606131,,"swinging_strike",,,,,"8","Corey Seager strikes out swinging.","R","L","R","SD","LAD","S",,,"0","1",2020,"-1.12","0.48","-0.18","1.49",,,"605141","0","5","Top",,,,,"488771",,,6.542932760024277,-128.52042166070828,-6.089633389065939,-13.713092300970194,25.678404137650364,-25.81624405462242,"3.37","1.52",,,,"87.9","1479","5.9",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.55",,,,,,,,"36","2","Split-Finger","1","3","3","1","3","1","3","1","Infield shift","Strategic","238","0","-0.067"
"SL","2020-09-16","90.7","-2.31","5.69","Richards, Garrett",457759,572070,,"ball",,,,,"14","Justin Turner strikes out swinging, catcher Jason Castro to first baseman Mitch Moreland.","R","R","R","SD","LAD","B",,,"1","1",2020,"0.18","-0.19","2.10","-0.13",,,"666158","2","6","Top",,,,,"488771",,,10.579635486275285,-131.52018536192617,-8.160219070757192,-0.08176435174137682,27.208352443768533,-32.84201235649633,"3.33","1.57",,,,"90.2","2939","6.1",631063,572070,"488771","519048","630105","592518","665487","595777","663757","571976","54.38",,,,,,,,"50","3","Slider","1","7","7","1","7","1","7","1","Standard","Standard","197","-0.001","0.046"
"SL","2020-09-16","86.2","-1.92","6.09","Perdomo, Luis",608369,606131,,"swinging_strike_blocked",,,,,"14","Corey Seager strikes out swinging.","R","L","R","SD","LAD","S",,,"0","0",2020,"0.03","-0.3","1.05","0.68",,,"605141","0","5","Top",,,,,"488771",,,6.93245740985244,-125.35135098214039,-5.956473664746362,-1.0870465953408635,24.877686819207163,-34.3712347800316,"3.37","1.52",,,,"85.4","2418","5.7",631063,606131,"488771","519048","630105","592518","665487","595777","663757","571976","54.76",,,,,,,,"36","1","Slider","1","3","3","1","3","1","3","1","Infield shift","Strategic","15","0","-0.049"
"FF","2020-09-16","97.7","1.89","5.81","Morejon, Adrian",571970,670970,,"foul",,,,,"4","Max Muncy strikes out swinging.","R","L","L","SD","LAD","S",,,"0","2",2020,"0.76","1.28","-0.48","2.66","605141",,,"2","1","Top",,,,,"488771",,,-8.100342951000814,-142.05481411942358,-5.98393380372524,12.013607802850222,29.442526436286933,-13.56209897127549,"3.18","1.52",,,,"97.9","2460","6.2",631063,670970,"488771","519048","630105","592518","665487","595777","663757","571976","54.25",,,,,,,,"4","4","4-Seam Fastball","0","0","0","0","0","0","0","0","Strategic","Strategic","145","0","0"
